"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Start Date,End Date,Length,First Case,Fisrt case / lockdown
St. Barth,5507,,6,,,,,,553746,603.0,78646.0,7908095.0,9945,North America,2,1658.0,0.0,,,506687.0,,,,,0
Nauru,5393,,1,,5347.0,,45.0,,494635,92.0,20509.0,1881042.0,10903,Australia/Oceania,2,10903.0,1.0,,,4127.0,,,,2022-04-02,0
Kiribati,5085,,24,,2703.0,,2358.0,3.0,41201,194.0,,,123419,Australia/Oceania,24,5142.0,,,,19106.0,,,,2021-05-18,0
Anguilla,3904,,12,,3879.0,,13.0,4.0,256336,788.0,51382.0,3373736.0,15230,North America,4,1269.0,0.0,,,854.0,,,,2020-03-26,0
Wallis and Futuna,3550,,8,,438.0,,3104.0,,323256,728.0,20508.0,1867419.0,10982,Australia/Oceania,3,1373.0,1.0,,,282644.0,,,,2020-10-16,0
Saint Pierre Miquelon,3452,,2,,2449.0,,1001.0,1.0,599410,347.0,25400.0,4410488.0,5759,North America,2,2880.0,0.0,,,173815.0,,,,,0
Tuvalu,2943,,1,,,,2942.0,,243909,83.0,,,12066,Australia/Oceania,4,12066.0,,,,243826.0,,,,2022-05-20,0
Saint Helena,2166,, ,,2.0,,2164.0,,354211,,,,6115,Africa,3,,,,,353884.0,,,,,0
Montserrat,1403,,8,,1376.0,,19.0,,282578,1611.0,17762.0,3577442.0,4965,North America,4,621.0,0.0,,,3827.0,,,,2020-03-18,0
Niue,884,, ,,874.0,,10.0,,545006,,,,1622,Australia/Oceania,2,,,,,6165.0,,,,2022-03-09,0
Tokelau,80,, ,,,,80.0,,58055,,,,1378,Australia/Oceania,17,,,,,58055.0,,,,2022-12-21,0
China,503302,,5272,,379053.0,,118977.0,,347,4.0,160000000.0,110461.0,1448471400,Asia,2878,274748.0,9.0,,,82.0,,,,2019-12-01,0
