"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Start Date,End Date,Length,First Case,Fisrt case / lockdown
South Sudan,18368,,138,,18115.0,,115.0,1.0,1581,12.0,410280.0,35313.0,11618511,Africa,633,84192.0,28.0,,,10.0,,,,2020-04-05,0
Tajikistan,17786,,125,,17264.0,,397.0,,1786,13.0,,,9957464,Asia,560,79660.0,,,,40.0,,,,2020-04-30,0
Equatorial Guinea,17229,,183,,16907.0,,139.0,5.0,11512,122.0,365697.0,244342.0,1496662,Africa,87,8178.0,4.0,,,93.0,,,,2020-03-14,0
Monaco,16901,,67,,15992.0,,842.0,4.0,424830,1684.0,78646.0,1976875.0,39783,Europe,2,594.0,1.0,,,21165.0,,,,2020-02-28,0
Tonga,16819,,13,,15638.0,,1168.0,,156094,121.0,535009.0,4965327.0,107749,Australia/Oceania,6,8288.0,0.0,,,10840.0,,,,2021-10-29,0
Samoa,16778,,31,,1605.0,,15142.0,,82961,153.0,187397.0,926612.0,202239,Australia/Oceania,12,6524.0,1.0,,,74872.0,,,,2020-11-18,0
Marshall Islands,16119,,17,,16083.0,,19.0,,268395,283.0,,,60057,Australia/Oceania,4,3533.0,,,,316.0,,,,2020-10-28,0
Dominica,15760,,74,,15673.0,,13.0,,217848,1023.0,229344.0,3170187.0,72344,North America,5,978.0,0.0,,,180.0,,,,2020-03-22,0
Djibouti,15690,,189,,15427.0,,74.0,,15441,186.0,305941.0,301094.0,1016097,Africa,65,5376.0,3.0,,,73.0,,,,2020-03-18,0
Macao,15420,,123,,3487.0,,11810.0,,23101,184.0,7850.0,11760.0,667490,Asia,43,5427.0,85.0,,,17693.0,,,,,0
