,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
28,Thailand,4734000,,"33,967                                ",,"4,692,636",,"7,397",N/A,"67,553",485,"17,270,775","246,450","70,078,203 ",Asia,15,"2,063",4,,,106,13 January 2020,2020-03-25,2020-05-31,67,National
29,Czechia,4641063,,"42,785                                ",,"4,596,521",,"1,757",4,"432,258","3,985","57,191,068","5,326,648","10,736,784 ",Europe,2,251,0,,,164,1 March 2020,Non-Lockdown,,,
30,Peru,4503222,,"220,196                                ",,"4,281,373",439,"1,653",26,"133,689","6,537","38,548,796","1,144,417","33,684,208 ",South America,7,153,1,,,49,6 March 2020,2020-03-16,2020-06-30,106,National
31,Switzerland,4402438,,"14,452                                ",,"4,385,766","1,130","2,220",39,"501,780","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,253,25 February 2020,2020-03-17,2020-04-27,41,National
32,Philippines,4106974,,"66,453                                ",,"4,027,815",,"12,706",162,"36,504",591,"35,083,713","311,830","112,508,994 ",Asia,27,"1,693",3,,,113,30 January 2020,2020-03-27,2020-05-15,49 to 65,Province
33,South Africa,4076463,,"102,595                                ",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135 ",Africa,15,592,2,,,"1,010",5 March 2020,2020-03-26,2020-04-30,35,National
34,Romania,3397365,,"68,117                                ",,"3,322,007",,"7,241",114,"178,514","3,579","27,242,332","1,431,446","19,031,335 ",Europe,6,279,1,,,380,26 February 2020,2020-03-25,2020-05-12,48,National
35,Denmark,3181098,,"8,614                                ",,"3,171,712",,772,10,"545,180","1,476","129,273,104","22,154,963","5,834,950 ",Europe,2,677,0,,,132,27 February 2020,2020-03-12,2020-04-13,33,National
36,Hong Kong,2895359,,"13,615                                ",,"2,871,532",,"10,212",28,"380,753","1,790","76,127,725","10,011,143","7,604,299 ",Asia,3,559,0,,,"1,343",22 January 2020,Non-Lockdown,,,
37,Sweden,2707189,,"24,141                                ",,"2,679,750",125,"3,298",8,"264,918","2,362","19,500,873","1,908,301","10,218,971 ",Europe,4,423,1,,,323,31 January 2020,Non-Lockdown,,,
38,Serbia,2537870,,"18,032                                ",,"2,513,426",,"6,412",12,"293,293","2,084","12,837,110","1,483,542","8,653,016 ",Europe,3,480,1,,,741,6 March 2020,2020-03-15,2020-04-21,37 to 50,National
39,Iraq,2465545,,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16,24 February 2020,2020-03-22,2020-04-11,20,National
40,Singapore,2391248,,"1,727                                ",,"2,149,583",,"239,938",2,"402,327",291,"24,756,666","4,165,302","5,943,546 ",Asia,2,"3,442",0,,,"40,370",23 January 2020,2020-04-07,2020-06-01,56,National
