,first_case,"Country,Other"
36,14 March 2020,Mauritania
38,16 March 2020,Tanzania
40,18 March 2020,Mauritius
41,19 March 2020,Isle of Man
42,20 March 2020,Uganda
44,22 March 2020,Syria
51,31 March 2020,Sint Eustatius
19,26 February 2020,Romania
21,28 February 2020,Monaco
24,2 March 2020,Portugal
28,6 March 2020,Serbia
32,10 March 2020,Mongolia
33,11 March 2020,Réunion
35,13 March 2020,Gabon
36,14 March 2020,Mayotte
40,18 March 2020,Montserrat
41,19 March 2020,Niger
42,20 March 2020,Zimbabwe
51,31 March 2020,Somaliland
21,28 February 2020,New Zealand
24,2 March 2020,Saudi Arabia
28,6 March 2020,Slovakia
32,10 March 2020,Northern Cyprus
33,11 March 2020,Turkey
35,13 March 2020,Ghana
36,14 March 2020,Namibia
40,18 March 2020,New Caledonia
24,2 March 2020,Senegal
28,6 March 2020,Togo
35,13 March 2020,Guadeloupe
36,14 March 2020,Rwanda
40,18 March 2020,Nicaragua
24,2 March 2020,Tunisia
28,6 March 2020,Vatican City
35,13 March 2020,Guatemala
36,14 March 2020,Seychelles
40,18 March 2020,Zambia
35,13 March 2020,Guinea
35,13 March 2020,Kazakhstan
35,13 March 2020,Kenya
35,13 March 2020,Kosovo
35,13 March 2020,Puerto Rico
35,13 March 2020,Saint Lucia
35,13 March 2020,Sudan
35,13 March 2020,Suriname
35,13 March 2020,United States Virgin Islands
35,13 March 2020,Uruguay
35,13 March 2020,Venezuela
